,VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low,Category,Directory
30,31,SOLUTION_Revenue_per_Functional_Unit,SOLUTION Revenue per Functional Unit,False,False,,,,smartglass,drawdown-master/solution/smartglass/vma_data/VMA_info.csv
0,1,Current_Adoption,Current Adoption,True,False,38.000554415238106,84.67277845298011,-8.67166962250392,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
1,2,CONVENTIONAL_First_Cost_per_Implementation_Unit_for_replaced_practices_technologies,CONVENTIONAL First Cost per Implementation Unit for replaced practices/technologies,True,True,2010.03170851964,3373.5568673016687,646.5065497376106,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
2,3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,False,2523.3443021598937,3904.394290171219,1142.2943141485682,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
3,4,Lifetime_Capacity_CONVENTIONAL,Lifetime Capacity - CONVENTIONAL,True,True,178021.67440092622,225212.4575469707,130830.89125488167,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
4,5,Lifetime_Capacity_SOLUTION,Lifetime Capacity - SOLUTION,True,False,45821.53846153847,50849.71326184964,40793.3636612273,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
5,6,Average_Annual_Use_CONVENTIONAL,Average Annual Use - CONVENTIONAL,True,True,4967.648441815689,6603.246811821507,3332.0500718098688,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
6,7,Average_Annual_Use_SOLUTION,Average Annual Use - SOLUTION,True,False,1685.3184657534243,2256.320255985537,1114.3166755213124,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
7,8,CONVENTIONAL_Variable_Operating_Cost_VOM_per_Functional_Unit,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,True,True,0.004752432167950817,0.007992783095689827,0.0015120812402118068,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
8,9,SOLUTION_Variable_Operating_Cost_VOM_per_Functional_Unit,SOLUTION Variable Operating Cost (VOM) per Functional Unit ,True,False,0.0,0.0,0.0,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
9,10,CONVENTIONAL_Fixed_Operating_Cost_FOM,CONVENTIONAL Fixed Operating Cost (FOM),True,True,32.890645734335216,63.04748100463679,2.7338104640336525,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
10,11,SOLUTION_Fixed_Operating_Cost_FOM,SOLUTION Fixed Operating Cost (FOM),True,False,21.716284321697398,31.271537471531172,12.161031171863627,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
11,12,Electricity_Consumed_per_Functional_Unit_CONVENTIONAL,Electricity Consumed per Functional Unit - CONVENTIONAL,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
12,13,Energy_Efficiency_Factor_SOLUTION,Energy Efficiency Factor - SOLUTION,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
13,14,Total_Energy_Used_per_SOLUTION_functional_unit,Total Energy Used per SOLUTION functional unit,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
14,15,Fuel_Consumed_per_CONVENTIONAL_Functional_Unit,Fuel Consumed per CONVENTIONAL Functional Unit,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
15,16,Fuel_Efficiency_Factor_SOLUTION,Fuel Efficiency Factor - SOLUTION,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
16,17,Direct_Emissions_per_CONVENTIONAL_Functional_Unit,Direct Emissions per CONVENTIONAL Functional Unit,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
17,18,Direct_Emissions_per_SOLUTION_Functional_Unit,Direct Emissions per SOLUTION Functional Unit,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
18,19,Indirect_CO2_Emissions_per_CONVENTIONAL_Implementation_OR_functional_Unit_CHOOSE_ONLY_ONE_on_Advanced_Controls,Indirect CO2 Emissions per CONVENTIONAL Implementation OR functional Unit -- CHOOSE ONLY ONE on Advanced Controls,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
19,20,Indirect_CO2_Emissions_per_SOLUTION_Implementation_Unit_Select_on_Advanced_Controls,Indirect CO2 Emissions per SOLUTION Implementation Unit (Select on Advanced Controls),True,False,46957.75,68159.44939975331,25756.05060024669,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
20,21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
21,22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
22,23,2005_2014_Average_CONVENTIONAL_Fuel_Price_per_functional_unit,2005-2014 Average CONVENTIONAL Fuel Price per functional unit,True,True,0.03446521920306304,0.041092366443973835,0.02783807196215224,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
23,24,Weighted_Average_CONVENTIONAL_Plant_Efficiency,Weighted Average CONVENTIONAL Plant Efficiency ,True,True,0.4102147445137418,0.4736845414315057,0.3467449475959779,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
24,25,Coal_Plant_Efficiency,Coal Plant Efficiency,True,False,0.36697534187007497,0.4322357828600367,0.3017149008801132,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
25,26,Natural_Gas_Plant_Efficiency,Natural Gas Plant Efficiency,True,False,0.4733587008768759,0.565872832325824,0.3808445694279278,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
26,27,Oil_Plant_Efficiency,Oil Plant Efficiency,True,False,0.39,0.39,0.39,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
27,28,of_PV_generated_by_roof_top_solar_PV,% of PV generated by roof-top solar PV,True,False,0.4426933333333333,0.5071872069441916,0.378199459722475,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
28,29,Solar_PV_Module_Learning_Rates,Solar PV Module Learning Rates,True,False,0.21172,0.2563478119562231,0.16709218804377693,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
29,30,BOS_Learning_Rates_for_Roof_top_Solar,BOS Learning Rates for Roof-top Solar,True,False,0.16605555555555554,0.20886063342440225,0.12325047768670892,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
30,31,of_PV_System_Installed_Costs_from_Module,% of PV System Installed Costs from Module,True,False,0.41,0.4821110255092795,0.3378889744907205,solarpvroof,drawdown-master/solution/solarpvroof/vma_data/VMA_info.csv
