,Unnamed: 0,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution,FileName,TemporalType,Land/Ocean,Directory
7,Regenerative Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
8,Improved Rice,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
9,SRI,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
10,Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
11,Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
12,Afforestation,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
13,Bamboo,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
14,Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
15,Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
16,Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
17,Biochar,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
18,Irrigation Efficiency,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
19,Nutrient Management,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
20,Smallholder Intensification,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
21,Tree Intercropping,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
22,Grassland Protection,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
23,Farmland Restoration,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
24,Inaccessible,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
0,Forest Protection,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
1,IP Forest Management,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
2,Peatland Protection,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
3,Wetland Protection,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
4,Managed Grazing,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
5,Silvopasture,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
